id;guid;name;hyper_link
1;world-class program alarm;Nevada;Berkshire
2;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders
3;Libyan Dinar CSS;sensor;Alaska
4;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner
5;Facilitator Incredible functionalities;compressing;Bedfordshire
6;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
7;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek
8;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate
9;interfaces;Garden Dale Wallis and Futuna;generating
10;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account
