id;guid;code;year;semester
1;Solomon Islands Dollar;Personal Loan Account HTTP;73507;41794
2;Specialist China deliverables;multi-byte Producer;41261;12768
3;Robust Louisiana;Infrastructure SSL bandwidth;75087;73990
4;Configurable iterate Liechtenstein;navigating encoding;89552;9998
5;Small Frozen Salad bypassing;time-frame Quality;95060;48252
6;Borders Practical;methodical;32866;55370
7;ivory Data neural;Unbranded;49442;97424
8;Designer;mindshare;88770;54591
9;bandwidth Liaison;program Auto Loan Account Refined;8410;42609
10;Centralized revolutionize International;Sleek;8483;23322
